Date,Price ($),Units Sold,Promo,Weekday,Competitor Price ($),Season,Time of Day,Revenue ($)
2023-01-01,32.93,952,No,Sunday,32.2,Winter,Morning,31349.36
2023-01-01,46.38,576,No,Sunday,47.48,Winter,Morning,26714.88
2023-01-01,39.45,1103,No,Sunday,40.31,Winter,Evening,43513.35
2023-01-01,44.64,1143,Yes,Sunday,41.53,Winter,Morning,51023.52
2023-01-01,31.86,1029,No,Sunday,26.59,Winter,Morning,32783.94
2023-01-01,42.07,572,No,Sunday,40.12,Winter,Afternoon,24064.04
2023-01-01,42.16,824,No,Sunday,38.07,Winter,Morning,34739.84
2023-01-01,41.22,912,Yes,Sunday,31.3,Winter,Afternoon,37592.64
2023-01-01,45.29,1131,Yes,Sunday,61.93,Winter,Afternoon,51222.99
2023-01-01,48.42,1299,Yes,Sunday,48.87,Winter,Night,62897.58
2023-01-01,43.58,776,No,Sunday,44.82,Winter,Morning,33818.08
2023-01-01,33.1,981,No,Sunday,36.71,Winter,Night,32471.1
2023-01-01,32.16,1124,No,Sunday,32.7,Winter,Afternoon,36147.84
2023-01-01,30.39,1242,Yes,Sunday,27.04,Winter,Morning,37744.38
2023-01-01,41.56,987,No,Sunday,42.49,Winter,Morning,41019.72
2023-01-01,38.84,1564,Yes,Sunday,38.09,Winter,Morning,60745.76
2023-01-01,43.84,886,No,Sunday,39.99,Winter,Morning,38842.24
2023-01-01,35.17,1190,No,Sunday,26.15,Winter,Afternoon,41852.3
2023-01-01,41.74,1074,No,Sunday,38.54,Winter,Afternoon,44828.76
2023-01-01,39.69,1238,No,Sunday,43.92,Winter,Afternoon,49136.22
2023-01-01,35.72,951,No,Sunday,35.6,Winter,Afternoon,33969.72
2023-01-01,34.36,1025,No,Sunday,40.89,Winter,Morning,35219.0
2023-01-01,33.72,1305,No,Sunday,40.56,Winter,Night,44004.6
2023-01-01,39.17,1033,No,Sunday,41.48,Winter,Morning,40462.61
2023-01-01,43.78,1120,No,Sunday,41.89,Winter,Evening,49033.6
2023-01-01,32.93,1071,No,Sunday,32.05,Winter,Afternoon,35268.03
2023-01-01,31.68,947,No,Sunday,35.04,Winter,Afternoon,30000.96
2023-01-01,46.68,958,No,Sunday,42.3,Winter,Afternoon,44719.44
2023-01-01,36.8,860,No,Sunday,32.6,Winter,Afternoon,31648.0
2023-01-01,34.55,1373,Yes,Sunday,34.75,Winter,Afternoon,47437.15
2023-01-02,36.26,844,Yes,Monday,42.57,Winter,Evening,30603.44
2023-01-02,33.39,803,No,Monday,43.78,Winter,Morning,26812.17
2023-01-02,45.62,600,No,Monday,45.76,Winter,Morning,27372.0
2023-01-02,41.38,651,No,Monday,28.01,Winter,Evening,26938.38
2023-01-02,34.31,856,No,Monday,40.46,Winter,Afternoon,29369.36
2023-01-02,44.06,660,No,Monday,45.53,Winter,Afternoon,29079.6
2023-01-02,33.92,943,No,Monday,41.5,Winter,Evening,31986.56
2023-01-02,47.47,1023,Yes,Monday,42.29,Winter,Night,48561.81
2023-01-02,32.84,850,No,Monday,33.9,Winter,Morning,27914.0
2023-01-02,38.71,811,No,Monday,33.64,Winter,Morning,31393.81
2023-01-02,26.15,1508,No,Monday,29.24,Winter,Morning,39434.2
2023-01-02,43.33,639,No,Monday,39.99,Winter,Evening,27687.87
